rank,title,author,address,
1,"Moby Dick; Or, The Whale",Herman Melville,https://www.gutenberg.org/cache/epub/15/pg15.txt,
2,Romeo and Juliet,William Shakespeare,https://www.gutenberg.org/cache/epub/1513/pg1513.txt,
3,Pride and Prejudice,Jane Austen,https://www.gutenberg.org/cache/epub/42671/pg42671.txt,
4,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,https://www.gutenberg.org/cache/epub/46/pg46.txt,
5,Middlemarch,George Eliot,https://www.gutenberg.org/cache/epub/145/pg145.txt,
6,A Room with a View,E. M. Forster,https://www.gutenberg.org/cache/epub/2641/pg2641.txt,
7,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/cache/epub/84/pg84.txt,
8,The Complete Works of William Shakespeare,William Shakespeare,https://www.gutenberg.org/cache/epub/100/pg100.txt,
9,"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,https://www.gutenberg.org/cache/epub/37106/pg37106.txt,
10,The Blue Castle: a novel,L. M. Montgomery,https://www.gutenberg.org/cache/epub/67979/pg67979.txt,
11,The Enchanted April,Elizabeth Von Arnim,https://www.gutenberg.org/cache/epub/16389/pg16389.txt,
12,Cranford,Elizabeth Cleghorn Gaskell,https://www.gutenberg.org/cache/epub/394/pg394.txt,
13,The Adventures of Ferdinand Count Fathom ? Complete,T. Smollett,https://www.gutenberg.org/cache/epub/6761/pg6761.txt,
14,The Expedition of Humphry Clinker,T. Smollett,https://www.gutenberg.org/cache/epub/2160/pg2160.txt,
15,The Adventures of Roderick Random,T. Smollett,https://www.gutenberg.org/cache/epub/4085/pg4085.txt,
16,"History of Tom Jones, a Foundling",Henry Fielding,https://www.gutenberg.org/cache/epub/6593/pg6593.txt,
17,Twenty years after,Alexandre Dumas and Auguste Maquet,https://www.gutenberg.org/cache/epub/1259/pg1259.txt,
18,My Life ? Volume 1,Richard Wagner,https://www.gutenberg.org/cache/epub/5197/pg5197.txt,
19,Alice's Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/cache/epub/11/pg11.txt,
20,The Picture of Dorian Gray,Oscar Wilde,https://www.gutenberg.org/cache/epub/174/pg174.txt,
21,The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/cache/epub/64317/pg64317.txt,
22,Metamorphosis,Franz Kafka,https://www.gutenberg.org/cache/epub/5200/pg5200.txt,
23,Crime and Punishment,Fyodor Dostoyevsky,https://www.gutenberg.org/cache/epub/2554/pg2554.txt,
24,A Tale of Two Cities,Charles Dickens,https://www.gutenberg.org/cache/epub/98/pg98.txt,
25,Dracula,Bram Stoker,https://www.gutenberg.org/cache/epub/345/pg345.txt,
26,War and Peace,graf Leo Tolstoy,https://www.gutenberg.org/cache/epub/2600/pg2600.txt,
27,The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/cache/epub/25344/pg25344.txt,
28,The Brothers Karamazov,Fyodor Dostoyevsky,https://www.gutenberg.org/cache/epub/28054/pg28054.txt,
29,The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,https://www.gutenberg.org/cache/epub/844/pg844.txt,
30,A Doll's House : a play ,Henrik Ibsen,https://www.gutenberg.org/cache/epub/2542/pg2542.txt,
,,,,
